"name","chrom","strand","txStart","txEnd","cdsStart","cdsEnd","exonCount","exonStarts","exonEnds","alias","tss","pas"
"YAL024C","chrI","-",101564,105872,101564,105872,1,"101564,","105872,","LTE1",105976,101371
"YAL023C","chrI","-",106271,108551,106271,108551,1,"106271,","108551,","PMT2",108639,106143
"YAL022C","chrI","-",108876,110430,108876,110430,1,"108876,","110430,","FUN26",110446,108835
"YAL021C","chrI","-",110845,113359,110845,113359,1,"110845,","113359,","CCR4",113403,110616
"YAL020C","chrI","-",113613,114615,113613,114615,1,"113613,","114615,","ATS1",114630,113537
"YAL019W","chrI","+",114918,118314,114918,118314,1,"114918,","118314,","FUN30",114809,118386
"YAL017W","chrI","+",120224,124295,120224,124295,1,"120224,","124295,","PSK1",119858,124459
"YAL016W","chrI","+",124878,126786,124878,126786,1,"124878,","126786,","TPD3",124798,126875
"YAL014C","chrI","-",128251,129019,128251,129019,1,"128251,","129019,","SYN8",129067,128091
"YAL013W","chrI","+",129269,130487,129269,130487,1,"129269,","130487,","DEP1",129236,130583
"YAL012W","chrI","+",130798,131983,130798,131983,1,"130798,","131983,","CYS3",130744,132082
"YAL011W","chrI","+",132198,134076,132198,134076,1,"132198,","134076,","SWC3",132195,134178
"YAL010C","chrI","-",134183,135665,134183,135665,1,"134183,","135665,","MDM10",135706,134136
"YAL009W","chrI","+",135853,136633,135853,136633,1,"135853,","136633,","SPO7",135813,136780
"YAL008W","chrI","+",136913,137510,136913,137510,1,"136913,","137510,","FUN14",136866,137637
"YAL007C","chrI","-",137697,138345,137697,138345,1,"137697,","138345,","ERP2",138420,137522
"YAL005C","chrI","-",139502,141431,139502,141431,1,"139502,","141431,","SSA1",141493,139357
"YAL003W","chrI","+",142173,143160,142173,143160,2,"142173,142619,","142253,143160,","EFB1",142153,143368
"YAL002W","chrI","+",143706,147531,143706,147531,1,"143706,","147531,","VPS8",143551,147565
"YAL001C","chrI","-",147593,151166,147593,151166,2,"147593,151096,","151006,151166,","TFC3",151204,147539
"YAR002W","chrI","+",152256,153876,152256,153876,1,"152256,","153876,","NUP60",152215,153962
"YAR002C-A","chrI","-",154064,154724,154064,154724,1,"154064,","154724,","ERP1",154740,153989
"YAR003W","chrI","+",155004,156285,155004,156285,1,"155004,","156285,","SWD1",154951,156285
"YAR007C","chrI","-",156753,158619,156753,158619,1,"156753,","158619,","RFA1",158682,156681
"YAR008W","chrI","+",158965,159793,158965,159793,1,"158965,","159793,","SEN34",158868,159860
"YAR014C","chrI","-",166741,168871,166741,168871,1,"166741,","168871,","BUD14",169021,166557
"YAR015W","chrI","+",169374,170295,169374,170295,1,"169374,","170295,","ADE1",169272,170390
"YAR018C","chrI","-",170395,171703,170395,171703,1,"170395,","171703,","KIN3",171719,170263
"YAR027W","chrI","+",183769,184477,183769,184477,1,"183769,","184477,","UIP3",183688,184552
"YAR028W","chrI","+",184891,185596,184891,185596,1,"184891,","185596,","YAR028W",184836,185794
"YAR031W","chrI","+",186835,187732,186835,187732,1,"186835,","187732,","PRM9",186997,187889
"YAR033W","chrI","+",188106,188811,188106,188811,1,"188106,","188811,","MST28",188065,188904
"YAR042W","chrI","+",192618,196185,192618,196185,1,"192618,","196185,","SWH1",192595,196418
"YAR066W","chrI","+",221048,221660,221048,221660,1,"221048,","221660,","YAR066W",220973,221660
"YAR071W","chrI","+",225459,226863,225459,226863,1,"225459,","226863,","PHO11",225420,226913
"YBL107C","chrII","-",9960,10551,9960,10551,1,"9960,","10551,","YBL107C",10551,9818
"YBL106C","chrII","-",10846,13879,10846,13879,1,"10846,","13879,","SRO77",13946,10773
"YBL105C","chrII","-",14240,17696,14240,17696,1,"14240,","17696,","PKC1",17966,14104
"YBL104C","chrII","-",18176,21293,18176,21293,1,"18176,","21293,","YBL104C",21298,18094
"YBL103C","chrII","-",22075,23536,22075,23536,1,"22075,","23536,","RTG3",23790,21715
"YBL102W","chrII","+",24097,24745,24097,24745,1,"24097,","24745,","SFT2",24010,24938
"YBL101C","chrII","-",24945,28299,24945,28299,1,"24945,","28299,","ECM21",28583,24810
"YBL099W","chrII","+",37052,38690,37052,38690,1,"37052,","38690,","ATP1",36766,38922
"YBL098W","chrII","+",39144,40527,39144,40527,1,"39144,","40527,","BNA4",39125,40644
"YBL097W","chrII","+",40830,43095,40830,43095,1,"40830,","43095,","BRN1",40781,43308
"YBL093C","chrII","-",44255,44918,44255,44918,1,"44255,","44918,","ROX3",44998,44039
"YBL092W","chrII","+",45977,46370,45977,46370,1,"45977,","46370,","RPL32",45582,46517
"YBL091C-A","chrII","-",46564,47180,46564,47180,2,"46564,47146,","47058,47180,","SCS22",47193,46559
"YBL091C","chrII","-",47362,48628,47362,48628,1,"47362,","48628,","MAP2",48659,47273
"YBL090W","chrII","+",48824,49358,48824,49358,1,"48824,","49358,","MRP21",48794,49477
"YBL089W","chrII","+",49573,50953,49573,50953,1,"49573,","50953,","AVT5",49510,51261
"YBL088C","chrII","-",51018,59382,51018,59382,1,"51018,","59382,","TEL1",59438,50935
"YBL087C","chrII","-",59821,60739,59821,60739,2,"59821,60697,","60193,60739,","RPL23A",60762,59722
"YBL086C","chrII","-",61201,62602,61201,62602,1,"61201,","62602,","YBL086C",62726,61155
"YBL085W","chrII","+",63875,66818,63875,66818,1,"63875,","66818,","BOI1",63661,66929
"YBL084C","chrII","-",67168,69445,67168,69445,1,"67168,","69445,","CDC27",69543,66923
"YBL082C","chrII","-",69750,71127,69750,71127,1,"69750,","71127,","ALG3",71409,69658
"YBL081W","chrII","+",71865,72972,71865,72972,1,"71865,","72972,","YBL081W",71552,73030
"YBL080C","chrII","-",73069,74695,73069,74695,1,"73069,","74695,","PET112",74778,72965
"YBL079W","chrII","+",75258,79767,75258,79767,1,"75258,","79767,","NUP170",75206,79852
"YBL078C","chrII","-",80377,80731,80377,80731,1,"80377,","80731,","ATG8",80813,80377
"YBL076C","chrII","-",81042,84261,81042,84261,1,"81042,","84261,","ILS1",84269,80947
"YBL074C","chrII","-",86721,87789,86721,87789,1,"86721,","87789,","AAR2",87803,86721
"YBL072C","chrII","-",88522,89125,88522,89125,1,"88522,","89125,","RPS8A",89116,88403
"YBL071W-A","chrII","+",89977,90226,89977,90226,1,"89977,","90226,","KTI11",89935,90472
"YBL069W","chrII","+",90740,92030,90740,92030,1,"90740,","92030,","AST1",90669,92111
"YBL068W","chrII","+",92413,93394,92413,93394,1,"92413,","93394,","PRS4",92365,93483
"YBL067C","chrII","-",93638,95882,93638,95882,1,"93638,","95882,","UBP13",96169,93523
"YBL066C","chrII","-",96668,100115,96668,100115,1,"96668,","100115,","SEF1",99053,96488
"YBL064C","chrII","-",100370,101156,100370,101156,1,"100370,","101156,","PRX1",101224,100299
"YBL063W","chrII","+",101885,105221,101885,105221,1,"101885,","105221,","KIP1",101886,105317
"YBL061C","chrII","-",105315,107406,105315,107406,1,"105315,","107406,","SKT5",107510,105213
"YBL060W","chrII","+",107931,109995,107931,109995,1,"107931,","109995,","YEL1",107870,110039
"YBL059C-A","chrII","-",110124,110539,110124,110539,2,"110124,110505,","110420,110539,","CMC2",110561,109965
"YBL059W","chrII","+",110593,111244,110593,111244,2,"110593,110948,","110879,111244,","YBL059W",110674,111316
"YBL058W","chrII","+",111436,112708,111436,112708,1,"111436,","112708,","SHP1",111396,112825
"YBL057C","chrII","-",112800,113427,112800,113427,1,"112800,","113427,","PTH2",113447,112734
"YBL056W","chrII","+",113761,115168,113761,115168,1,"113761,","115168,","PTC3",113682,115535
"YBL055C","chrII","-",115572,116829,115572,116829,1,"115572,","116829,","YBL055C",116815,115479
"YBL054W","chrII","+",117588,119166,117588,119166,1,"117588,","119166,","TOD6",117478,119311
"YBL052C","chrII","-",119378,121874,119378,121874,1,"119378,","121874,","SAS3",122062,119310
"YBL051C","chrII","-",122752,124759,122752,124759,1,"122752,","124759,","PIN4",124822,122603
"YBL050W","chrII","+",125124,126119,125124,126119,2,"125124,125270,","125154,126119,","SEC17",125058,126186
"YBL049W","chrII","+",126827,127244,126827,127244,1,"126827,","127244,","MOH1",126622,127244
"YBL047C","chrII","-",127894,132040,127894,132040,1,"127894,","132040,","EDE1",132211,127751
"YBL046W","chrII","+",132423,133749,132423,133749,1,"132423,","133749,","PSY4",132416,133931
"YBL045C","chrII","-",134142,135516,134142,135516,1,"134142,","135516,","COR1",135640,133840
"YBL043W","chrII","+",136687,137461,136687,137461,1,"136687,","137461,","ECM13",136555,137644
"YBL042C","chrII","-",138340,140260,138340,140260,1,"138340,","140260,","FUI1",140316,138150
"YBL041W","chrII","+",141246,141972,141246,141972,1,"141246,","141972,","PRE7",141216,142028
"YBL040C","chrII","-",142111,142868,142111,142868,2,"142111,142846,","142749,142868,","ERD2",142900,142012
"YBL039W-B","chrII","+",143392,143572,143392,143572,1,"143392,","143572,","YBL039W-B",143108,143700
"YBL039C","chrII","-",143988,145728,143988,145728,1,"143988,","145728,","URA7",145782,143807
"YBL038W","chrII","+",146186,146885,146186,146885,1,"146186,","146885,","MRPL16",146130,146947
"YBL037W","chrII","+",147208,150286,147208,150286,1,"147208,","150286,","APL3",147129,150403
"YBL036C","chrII","-",150446,151220,150446,151220,1,"150446,","151220,","YBL036C",151269,150301
"YBL035C","chrII","-",151492,153610,151492,153610,1,"151492,","153610,","POL12",153688,151382
"YBL034C","chrII","-",153847,158389,153847,158389,1,"153847,","158389,","STU1",158215,153698
"YBL033C","chrII","-",158655,159693,158655,159693,1,"158655,","159693,","RIB1",159709,158489
"YBL032W","chrII","+",160183,161329,160183,161329,1,"160183,","161329,","HEK2",160094,161532
"YBL031W","chrII","+",161698,162715,161698,162715,1,"161698,","162715,","SHE1",161665,162874
"YBL030C","chrII","-",163040,163997,163040,163997,1,"163040,","163997,","PET9",164141,162741
"YBL029C-A","chrII","-",164487,164772,164487,164772,1,"164487,","164772,","YBL029C-A",164889,164409
"YBL028C","chrII","-",167517,167838,167517,167838,1,"167517,","167838,","YBL028C",167860,167433
"YBL027W","chrII","+",168422,169376,168422,169376,2,"168422,168808,","168424,169376,","RPL19B",168371,169460
"YBL026W","chrII","+",170622,171038,170622,171038,2,"170622,170804,","170676,171038,","LSM2",170581,171164
"YBL025W","chrII","+",171480,171918,171480,171918,1,"171480,","171918,","RRN10",171413,171918
"YBL024W","chrII","+",172533,174588,172533,174588,1,"172533,","174588,","NCL1",172528,174708
"YBL023C","chrII","-",174919,177526,174919,177526,1,"174919,","177526,","MCM2",177611,174765
"YBL022C","chrII","-",177873,181275,177873,181275,1,"177873,","181275,","PIM1",181394,177798
"YBL021C","chrII","-",181659,182094,181659,182094,1,"181659,","182094,","HAP3",182141,181490
"YBL020W","chrII","+",182400,184125,182400,184125,1,"182400,","184125,","RFT1",182319,184214
"YBL019W","chrII","+",184352,185915,184352,185915,1,"184352,","185915,","APN2",184301,186030
"YBL018C","chrII","-",185997,186474,185997,186474,2,"185997,186427,","186352,186474,","POP8",186515,185962
"YBL017C","chrII","-",186843,191583,186843,191583,1,"186843,","191583,","PEP1",191764,186777
"YBL016W","chrII","+",192450,193512,192450,193512,1,"192450,","193512,","FUS3",192428,193647
"YBL015W","chrII","+",194121,195702,194121,195702,1,"194121,","195702,","ACH1",194045,195736
"YBL014C","chrII","-",199063,201748,199063,201748,1,"199063,","201748,","RRN6",201777,198947
"YBL013W","chrII","+",202055,203261,202055,203261,1,"202055,","203261,","FMT1",201990,203261
"YBL011W","chrII","+",203537,205817,203537,205817,1,"203537,","205817,","SCT1",203437,206019
"YBL010C","chrII","-",206106,206949,206106,206949,1,"206106,","206949,","YBL010C",206943,205964
"YBL009W","chrII","+",207193,209224,207193,209224,1,"207193,","209224,","ALK2",207152,209338
"YBL006C","chrII","-",216586,217129,216586,217129,1,"216586,","217129,","LDB7",217133,216405
"YBL005W","chrII","+",217469,220400,217469,220400,1,"217469,","220400,","PDR3",217408,220685
"YBL004W","chrII","+",227635,235117,227635,235117,1,"227635,","235117,","UTP20",227529,235202
"YBL003C","chrII","-",235393,235792,235393,235792,1,"235393,","235792,","HTA2",235827,235221
"YBL002W","chrII","+",236491,236887,236491,236887,1,"236491,","236887,","HTB2",236469,237079
"YBL001C","chrII","-",237152,237467,237152,237467,1,"237152,","237467,","ECM15",237528,237078
"YBR001C","chrII","-",238940,241283,238940,241283,1,"238940,","241283,","NTH2",241431,238872
"YBR002C","chrII","-",241707,242568,241707,242568,1,"241707,","242568,","RER2",242589,241599
"YBR003W","chrII","+",242808,244230,242808,244230,1,"242808,","244230,","COQ1",242780,244360
"YBR004C","chrII","-",244365,245667,244365,245667,1,"244365,","245667,","GPI18",245683,244273
"YBR005W","chrII","+",245905,246547,245905,246547,1,"245905,","246547,","RCR1",245871,246731
"YBR006W","chrII","+",247009,248503,247009,248503,1,"247009,","248503,","UGA2",246884,248645
"YBR007C","chrII","-",248805,251016,248805,251016,1,"248805,","251016,","DSF2",251106,248623
"YBR008C","chrII","-",252562,254209,252562,254209,1,"252562,","254209,","FLR1",254427,252542
"YBR009C","chrII","-",255372,255684,255372,255684,1,"255372,","255684,","HHF1",255723,255209
"YBR010W","chrII","+",256330,256741,256330,256741,1,"256330,","256741,","HHT1",256303,256902
"YBR011C","chrII","-",257111,257975,257111,257975,1,"257111,","257975,","IPP1",258014,257000
"YBR013C","chrII","-",265491,265881,265491,265881,1,"265491,","265881,","YBR013C",266023,265340
"YBR014C","chrII","-",266724,267336,266724,267336,1,"266724,","267336,","GRX7",267396,266529
"YBR016W","chrII","+",270246,270633,270246,270633,1,"270246,","270633,","YBR016W",270198,270836
"YBR017C","chrII","-",270946,273703,270946,273703,1,"270946,","273703,","KAP104",273755,270773
"YBR021W","chrII","+",281442,283344,281442,283344,1,"281442,","283344,","FUR4",281325,283434
"YBR022W","chrII","+",283737,284271,283737,284271,1,"283737,","284271,","POA1",283676,284426
"YBR023C","chrII","-",284427,287925,284427,287925,1,"284427,","287925,","CHS3",288074,284300
"YBR024W","chrII","+",289444,290350,289444,290350,1,"289444,","290350,","SCO2",289353,290580
"YBR025C","chrII","-",290680,291865,290680,291865,1,"290680,","291865,","OLA1",291886,290477
"YBR026C","chrII","-",292876,294019,292876,294019,1,"292876,","294019,","ETR1",294040,292761
"YBR028C","chrII","-",294424,296002,294424,296002,1,"294424,","296002,","YBR028C",296102,294249
"YBR029C","chrII","-",296368,297742,296368,297742,1,"296368,","297742,","CDS1",297822,296241
"YBR030W","chrII","+",298291,299950,298291,299950,1,"298291,","299950,","RKM3",298021,300119
"YBR031W","chrII","+",300165,301254,300165,301254,1,"300165,","301254,","RPL4A",300150,301347
"YBR034C","chrII","-",304929,305976,304929,305976,1,"304929,","305976,","HMT1",305990,304740
"YBR035C","chrII","-",306268,306955,306268,306955,1,"306268,","306955,","PDX3",306982,306170
"YBR036C","chrII","-",309080,310313,309080,310313,1,"309080,","310313,","CSG2",310361,308887
"YBR037C","chrII","-",310564,311452,310564,311452,1,"310564,","311452,","SCO1",311493,310495
"YBR038W","chrII","+",311897,314789,311897,314789,1,"311897,","314789,","CHS2",311857,314971
"YBR039W","chrII","+",315574,316510,315574,316510,1,"315574,","316510,","ATP3",315488,316688
"YBR040W","chrII","+",316967,317864,316967,317864,1,"316967,","317864,","FIG1",316786,317864
"YBR041W","chrII","+",318265,320275,318265,320275,1,"318265,","320275,","FAT1",318213,320417
"YBR042C","chrII","-",320415,321609,320415,321609,1,"320415,","321609,","CST26",321654,320346
"YBR043C","chrII","-",321875,323945,321875,323945,1,"321875,","323945,","QDR3",324094,321771
"YBR044C","chrII","-",324340,326059,324340,326059,1,"324340,","326059,","TCM62",326142,324268
"YBR046C","chrII","-",330506,331511,330506,331511,1,"330506,","331511,","ZTA1",331542,330248
"YBR047W","chrII","+",331832,332360,331832,332360,1,"331832,","332360,","FMP23",331780,332461
"YBR048W","chrII","+",332830,333812,332830,333812,2,"332830,333386,","332875,333812,","RPS11B",332813,334020
"YBR049C","chrII","-",334385,336818,334385,336818,1,"334385,","336818,","REB1",336941,334141
"YBR050C","chrII","-",337182,338199,337182,338199,1,"337182,","338199,","REG2",338376,337182
"YBR052C","chrII","-",338719,339352,338719,339352,1,"338719,","339352,","RFS1",339416,338663
"YBR053C","chrII","-",339674,340751,339674,340751,1,"339674,","340751,","YBR053C",340763,339541
"YBR054W","chrII","+",343100,344135,343100,344135,1,"343100,","344135,","YRO2",342787,344360
"YBR055C","chrII","-",344601,347301,344601,347301,1,"344601,","347301,","PRP6",347325,344509
"YBR056W","chrII","+",347878,349384,347878,349384,1,"347878,","349384,","YBR056W",347754,349428
"YBR057C","chrII","-",352192,353293,352192,353293,1,"352192,","353293,","MUM2",353383,352089
"YBR058C","chrII","-",353671,356017,353671,356017,1,"353671,","356017,","UBP14",356041,353516
"YBR058C-A","chrII","-",356323,356566,356323,356566,1,"356323,","356566,","TSC3",356625,356153
"YBR059C","chrII","-",356860,360187,356860,360187,1,"356860,","360187,","AKL1",360298,356762
"YBR060C","chrII","-",360651,362514,360651,362514,1,"360651,","362514,","ORC2",362632,360609
"YBR061C","chrII","-",364786,365719,364786,365719,1,"364786,","365719,","TRM7",365726,364634
"YBR062C","chrII","-",365975,366600,365975,366600,2,"365975,366584,","366502,366600,","YBR062C",366631,365878
"YBR065C","chrII","-",368583,369678,368583,369678,1,"368583,","369678,","ECM2",369750,368276
"YBR066C","chrII","-",370036,370699,370036,370699,1,"370036,","370699,","NRG2",370751,369948
"YBR067C","chrII","-",372102,372735,372102,372735,1,"372102,","372735,","TIP1",372786,371984
"YBR068C","chrII","-",373860,375690,373860,375690,1,"373860,","375690,","BAP2",375729,373642
"YBR069C","chrII","-",376573,378433,376573,378433,1,"376573,","378433,","TAT1",378538,376429
"YBR070C","chrII","-",379220,379934,379220,379934,1,"379220,","379934,","ALG14",379987,379178
"YBR071W","chrII","+",380410,381046,380410,381046,1,"380410,","381046,","YBR071W",380339,381321
"YBR072W","chrII","+",382029,382674,382029,382674,1,"382029,","382674,","HSP26",381956,382840
"YBR073W","chrII","+",383111,385988,383111,385988,1,"383111,","385988,","RDH54",383154,386050
"YBR074W","chrII","+",386285,389216,386285,389216,1,"386285,","389216,","YBR074W",386281,389331
"YBR077C","chrII","-",391804,392293,391804,392293,1,"391804,","392293,","SLM4",392352,391577
"YBR078W","chrII","+",393122,394742,393122,394742,2,"393122,393510,","393180,394742,","ECM33",392947,394894
"YBR079C","chrII","-",395382,398277,395382,398277,1,"395382,","398277,","RPG1",398302,395294
"YBR080C","chrII","-",398613,400890,398613,400890,1,"398613,","400890,","SEC18",400916,398464
"YBR081C","chrII","-",401252,405251,401252,405251,1,"401252,","405251,","SPT7",405397,401105
"YBR082C","chrII","-",406627,407169,406627,407169,2,"406627,407122,","407027,407169,","UBC4",407234,406461
"YBR083W","chrII","+",409168,410629,409168,410629,1,"409168,","410629,","TEC1",409122,410704
"YBR084W","chrII","+",411053,413981,411053,413981,1,"411053,","413981,","MIS1",411040,414073
"YBR084C-A","chrII","-",414185,415261,414185,415261,2,"414185,415259,","414753,415261,","RPL19A",415311,414069
"YBR085W","chrII","+",415982,416906,415982,416906,1,"415982,","416906,","AAC3",415919,417077
"YBR085C-A","chrII","-",418906,419164,418906,419164,1,"418906,","419164,","YBR085C-A",419193,418548
"YBR086C","chrII","-",420200,423041,420200,423041,1,"420200,","423041,","IST2",423344,420078
"YBR087W","chrII","+",423764,424829,423764,424829,1,"423764,","424829,","RFC5",423754,424889
"YBR088C","chrII","-",424989,425766,424989,425766,1,"424989,","425766,","POL30",425806,424923
"YBR091C","chrII","-",427154,427484,427154,427484,1,"427154,","427484,","TIM12",427525,427061
"YBR092C","chrII","-",427697,429101,427697,429101,1,"427697,","429101,","PHO3",429115,427647
"YBR093C","chrII","-",429547,430951,429547,430951,1,"429547,","430951,","PHO5",430986,429492
"YBR094W","chrII","+",432035,434297,432035,434297,1,"432035,","434297,","PBY1",431970,434402
"YBR095C","chrII","-",434405,435698,434405,435698,1,"434405,","435698,","RXT2",435738,434314
"YBR096W","chrII","+",436020,436713,436020,436713,1,"436020,","436713,","YBR096W",435939,436781
"YBR097W","chrII","+",436950,441315,436950,441315,1,"436950,","441315,","VPS15",436920,441394
"YBR098W","chrII","+",441514,443590,441514,443590,1,"441514,","443590,","MMS4",441517,443745
"YBR101C","chrII","-",443820,444693,443820,444693,1,"443820,","444693,","FES1",444765,443743
"YBR102C","chrII","-",445061,447323,445061,447323,1,"445061,","447323,","EXO84",447354,444956
"YBR103W","chrII","+",447708,449316,447708,449316,1,"447708,","449316,","SIF2",447549,449364
"YBR104W","chrII","+",449666,450656,449666,450656,1,"449666,","450656,","YMC2",449579,450740
"YBR105C","chrII","-",450880,451969,450880,451969,1,"450880,","451969,","VID24",451995,450721
"YBR106W","chrII","+",452657,453224,452657,453224,1,"452657,","453224,","PHO88",452625,453364
"YBR107C","chrII","-",453792,454530,453792,454530,1,"453792,","454530,","IML3",454551,453792
"YBR108W","chrII","+",454821,457665,454821,457665,1,"454821,","457665,","AIM3",454807,457852
"YBR109C","chrII","-",457918,458362,457918,458362,1,"457918,","458362,","CMD1",458401,457724
"YBR110W","chrII","+",458871,460221,458871,460221,1,"458871,","460221,","ALG1",458657,460318
"YBR111C","chrII","-",461177,461873,461177,461873,1,"461177,","461873,","YSA1",461856,461107
"YBR111W-A","chrII","+",462138,462579,462138,462579,3,"462138,462289,462499,","462209,462429,462579,","SUS1",462138,462742
"YBR112C","chrII","-",462869,465770,462869,465770,1,"462869,","465770,","CYC8",465964,462642
"YBR114W","chrII","+",467247,469620,467247,469620,1,"467247,","469620,","RAD16",467130,469679
"YBR115C","chrII","-",469747,473926,469747,473926,1,"469747,","473926,","LYS2",474013,469611
"YBR117C","chrII","-",474391,476437,474391,476437,1,"474391,","476437,","TKL2",476674,474235
"YBR118W","chrII","+",477670,479047,477670,479047,1,"477670,","479047,","TEF2",477649,479137
"YBR119W","chrII","+",479337,480323,479337,480323,2,"479337,479434,","479345,480323,","MUD1",479298,480467
"YBR120C","chrII","-",480434,480923,480434,480923,1,"480434,","480923,","CBP6",481006,480375
"YBR121C","chrII","-",481363,483367,481363,483367,1,"481363,","483367,","GRS1",483444,481261
"YBR122C","chrII","-",483969,484503,483969,484503,1,"483969,","484503,","MRPL36",484536,483774
"YBR123C","chrII","-",484741,486691,484741,486691,1,"484741,","486691,","TFC1",486759,484677
"YBR125C","chrII","-",487198,488380,487198,488380,1,"487198,","488380,","PTC4",488559,487061
"YBR126C","chrII","-",488904,490392,488904,490392,1,"488904,","490392,","TPS1",490499,488774
"YBR127C","chrII","-",491268,492822,491268,492822,1,"491268,","492822,","VMA2",492886,491103
"YBR128C","chrII","-",493080,494115,493080,494115,1,"493080,","494115,","ATG14",494147,492798
"YBR129C","chrII","-",494352,495339,494352,495339,1,"494352,","495339,","OPY1",495374,494219
"YBR130C","chrII","-",495591,496869,495591,496869,1,"495591,","496869,","SHE3",496929,495479
"YBR131W","chrII","+",497162,499277,497162,499277,1,"497162,","499277,","CCZ1",497119,499352
"YBR132C","chrII","-",499651,501442,499651,501442,1,"499651,","501442,","AGP2",501553,499352
"YBR133C","chrII","-",501803,504287,501803,504287,1,"501803,","504287,","HSL7",504400,501663
"YBR135W","chrII","+",504853,505306,504853,505306,1,"504853,","505306,","CKS1",504754,505510
"YBR136W","chrII","+",505667,512774,505667,512774,1,"505667,","512774,","MEC1",505617,512970
"YBR137W","chrII","+",513043,513583,513043,513583,1,"513043,","513583,","YBR137W",512952,513680
"YBR138C","chrII","-",513761,515336,513761,515336,1,"513761,","515336,","YBR138C",515405,513613
"YBR139W","chrII","+",515663,517190,515663,517190,1,"515663,","517190,","YBR139W",515659,517223
"YBR141C","chrII","-",527024,528038,527024,528038,1,"527024,","528038,","YBR141C",528058,526864
"YBR142W","chrII","+",528316,530638,528316,530638,1,"528316,","530638,","MAK5",528270,530645
"YBR143C","chrII","-",530868,532182,530868,532182,1,"530868,","532182,","SUP45",532221,530735
"YBR145W","chrII","+",533761,534817,533761,534817,1,"533761,","534817,","ADH5",533721,534918
"YBR146W","chrII","+",535259,536096,535259,536096,1,"535259,","536096,","MRPS9",535197,536318
"YBR148W","chrII","+",537875,539705,537875,539705,1,"537875,","539705,","YSW1",537689,539787
"YBR149W","chrII","+",539986,541021,539986,541021,1,"539986,","541021,","ARA1",539918,541118
"YBR150C","chrII","-",541208,544493,541208,544493,1,"541208,","544493,","TBS1",544524,541143
"YBR151W","chrII","+",545027,545978,545027,545978,1,"545027,","545978,","APD1",544915,546108
